word,occ
chamane,3
cheffe,4
auteure,264
nicole,1
défenseure,8
entrepreneure,21
autrice,94
écrivaine,31
sculpteure,1
autrices,51
chamanes,1
ingénieures,7
sculpteuse,1
grapheuse,2
auteures,84
entrepreneures,14
docteure,25
clowne,1
professeure,113
etrangère,1
professeures,9
/,3
professeurs,2
cheffes,1
gresse,2
technico-commerciales,1
institute,4
lusine,1
motarde,1
suissesses,1
et,35
des,3
suisses,1
manageuse,1
dadaise,1
ecrivaines,1
chercheure,28
prêcheures,1
vice-rectrice,1
ingénieure,27
écolière,5
auteurs,21
artisanes,6
résiliente,1
mairesse,11
boxeuse,1
usagère,1
ou,1
d',1
un,1
usager,1
testeuses,8
sculptrice,5
référente,2
charpentière,3
accompagnante,2
défenseuses,1
défenseurs,1
métropolitaine,1
développeuse,3
développeuses,2
vampiresse,2
écrivaines,9
écrivains,4
aucunes,1
rapporteure,13
démone,3
baroudeuses,1
metteure,2
",",10
pasteure,4
sénatrices,7
sénateurs,6
nombreux,2
sénatrice,28
amateurs,1
amatrices,2
usagères,4
prédécesseure,1
pourvoyeuse,2
artisane,7
buteuse,5
défenseuse,3
proviseure,1
chanteure,1
baroudeuse,1
agente,3
bagnards,1
bagnardes,1
contrôleure,1
gladiateure,1
délivreuse,3
gendarmettes,1
céréalière,1
recruteuse,3
louise,1
artisans,1
testeuse,4
échevines,1
souteneuse,1
crocheteuses,3
chercheures,1
agentes,1
agents,1
innovantes,2
ministresse,1
proviseuse,1
officière,1
écouteuses,1
amatrice,2
crocheteuse,1
tatoueuse,2
rapportrice,3
d’,3
copains,1
copinettes,1
usagers,3
intégratrice,1
sécatrice,1
peintresse,1
philosophesse,1
philosophesses,1
magistrate,1
attributes,1
défenseures,6
gouroue,1
superviseure,1
amateure,2
croisette,1
buteuses,2
carriere,1
armurière,2
challengeuses,1
requérants,1
requérantes,1
doctorate,1
innovante,1
mentore,1
procureure,5
centauresse,1
coauteures,2
migrantes,5
les,2
migrants,4
enchanteuse,2
huissière,3
pompiere,1
